Setting files loaded successfully !!!
Device being used for training : cuda:0
1281167
1281167
50000
50000
current lr 1.00000e-01
Epoch: [1][5750/10010]	Time 1.104 (1.088)	Data 0.708 (0.691)	Loss 4.6941 (5.6944)	Prec@1 14.062 (4.534)
Epoch: [1][5800/10010]	Time 1.109 (1.088)	Data 0.714 (0.692)	Loss 5.0464 (5.6873)	Prec@1 8.594 (4.576)
Epoch: [1][5850/10010]	Time 1.095 (1.088)	Data 0.700 (0.692)	Loss 4.8445 (5.6802)	Prec@1 7.812 (4.622)
Epoch: [1][5900/10010]	Time 1.112 (1.089)	Data 0.718 (0.692)	Loss 4.9864 (5.6729)	Prec@1 4.688 (4.675)
Epoch: [1][5950/10010]	Time 1.094 (1.089)	Data 0.700 (0.692)	Loss 4.7379 (5.6656)	Prec@1 12.500 (4.722)
Epoch: [1][6000/10010]	Time 1.128 (1.089)	Data 0.734 (0.693)	Loss 4.7595 (5.6586)	Prec@1 9.375 (4.773)
Epoch: [1][6050/10010]	Time 1.109 (1.089)	Data 0.713 (0.693)	Loss 4.8835 (5.6517)	Prec@1 8.594 (4.817)
Epoch: [1][6100/10010]	Time 1.317 (1.090)	Data 0.922 (0.693)	Loss 4.8802 (5.6450)	Prec@1 8.594 (4.861)
Epoch: [1][6150/10010]	Time 1.079 (1.090)	Data 0.684 (0.694)	Loss 4.6382 (5.6377)	Prec@1 11.719 (4.913)
Epoch: [1][6200/10010]	Time 1.102 (1.090)	Data 0.707 (0.694)	Loss 4.9007 (5.6307)	Prec@1 7.812 (4.963)
Epoch: [1][6250/10010]	Time 1.142 (1.091)	Data 0.745 (0.694)	Loss 4.6121 (5.6238)	Prec@1 10.938 (5.007)
Epoch: [1][6300/10010]	Time 1.355 (1.091)	Data 0.958 (0.695)	Loss 4.7645 (5.6172)	Prec@1 10.938 (5.052)
Epoch: [1][6350/10010]	Time 1.188 (1.091)	Data 0.794 (0.695)	Loss 4.5596 (5.6103)	Prec@1 13.281 (5.105)
Epoch: [1][6400/10010]	Time 1.151 (1.092)	Data 0.755 (0.695)	Loss 4.6668 (5.6031)	Prec@1 12.500 (5.158)
